Facility,Date,Year,Wx,Vol,Eqpt,Rwy,Other,Other,Other,Total
BWI,2018-02-01,2018,4,1,0,0,0,3,2,10
BWI,2018-03-01,2018,5,7,0,0,0,2,2,16
BWI,2018-04-01,2018,11,0,0,0,0,0,0,11
BWI,2018-05-01,2018,74,5,0,2,0,19,10,110
BWI,2018-06-01,2018,51,10,0,0,0,16,41,118
BWI,2018-07-01,2018,199,23,0,13,0,1,23,259
BWI,2018-08-01,2018,131,9,0,1,2,9,7,159
BWI,2018-09-01,2018,15,2,0,0,0,11,5,33
BWI,2018-10-01,2018,7,0,0,0,0,0,0,7
BWI,2018-11-01,2018,6,0,0,0,0,0,0,6
BWI,2018-12-01,2018,3,0,0,2,0,2,3,10
BWI,2019-01-01,2019,5,1,0,0,0,0,0,6
BWI,2019-02-01,2019,5,1,1,0,0,0,2,9
BWI,2019-03-01,2019,3,0,0,0,0,0,1,4
BWI,2019-04-01,2019,36,2,0,5,0,2,9,54
BWI,2019-05-01,2019,16,8,0,0,0,1,11,36
BWI,2019-06-01,2019,15,9,0,0,0,10,3,37
BWI,2019-07-01,2019,69,4,0,1,1,2,12,89
BWI,2019-08-01,2019,77,4,0,3,1,3,7,95
BWI,2019-09-01,2019,5,0,0,1,0,0,0,6
BWI,2019-10-01,2019,2,0,0,4,0,1,1,8
BWI,2019-11-01,2019,2,0,0,0,0,0,0,2
BWI,2019-12-01,2019,6,1,0,0,0,1,0,8
BWI,2020-01-01,2020,0,0,0,0,0,0,0,0
BWI,2020-02-01,2020,2,0,0,0,0,0,0,2
BWI,2020-03-01,2020,3,10,0,0,1,0,0,14
BWI,2020-04-01,2020,0,0,0,0,0,0,0,0
BWI,2020-05-01,2020,0,0,0,0,0,0,0,0
BWI,2020-06-01,2020,0,0,0,0,0,0,0,0
BWI,2020-07-01,2020,0,0,0,0,0,0,0,0
BWI,2020-08-01,2020,0,0,0,0,0,0,0,0
BWI,2020-09-01,2020,0,0,0,0,0,0,0,0
BWI,2020-10-01,2020,0,0,0,0,0,0,0,0
BWI,2020-11-01,2020,0,0,0,0,0,0,0,0
BWI,2020-12-01,2020,0,0,0,0,1,0,0,1
BWI,2021-01-01,2021,0,1,0,0,1,0,2,4
BWI,2021-02-01,2021,0,0,0,0,0,0,3,3
BWI,2021-03-01,2021,3,0,0,0,0,0,0,3
BWI,2021-04-01,2021,8,1,0,0,1,5,7,22
BWI,2021-05-01,2021,0,0,0,0,0,0,0,0
BWI,2021-06-01,2021,38,4,0,1,2,0,15,60
BWI,2021-07-01,2021,9,0,0,0,1,0,0,10
BWI,2021-08-01,2021,33,2,0,0,0,0,3,38
BWI,2021-09-01,2021,2,0,0,0,0,0,1,3
BWI,2021-10-01,2021,6,2,0,0,2,1,5,16
BWI,2021-11-01,2021,0,0,1,0,0,0,0,1
BWI,2021-12-01,2021,0,0,0,0,0,0,0,0
BWI,2022-01-01,2022,0,0,0,0,0,0,1,1
BWI,2022-02-01,2022,3,0,0,0,0,0,0,3
BWI,2022-03-01,2022,24,4,0,0,1,9,4,42
BWI,2022-04-01,2022,16,1,1,0,0,9,4,31
BWI,2022-05-01,2022,15,5,0,0,0,1,2,23
BWI,2022-06-01,2022,38,9,0,3,3,19,25,97
BWI,2022-07-01,2022,8,2,0,0,0,0,19,29
BWI,2022-08-01,2022,30,1,0,0,3,4,4,42
BWI,2022-09-01,2022,16,1,0,0,0,2,1,20
BWI,2022-10-01,2022,6,0,0,0,0,0,0,6
BWI,2022-11-01,2022,3,1,0,0,0,0,0,4
BWI,2022-12-01,2022,1,0,0,0,0,1,3,5
BWI,2023-01-01,2023,2,0,16,0,0,12,5,35
BWI,2023-02-01,2023,0,0,0,0,1,0,0,1
BWI,2023-03-01,2023,0,0,0,0,0,2,3,5
BWI,2023-04-01,2023,13,1,0,0,2,0,5,21
BWI,2023-05-01,2023,0,0,0,1,0,0,0,1
BWI,2023-06-01,2023,12,0,0,0,0,11,3,26
BWI,2023-07-01,2023,33,2,0,0,0,1,4,40
BWI,2023-08-01,2023,4,0,0,0,0,0,0,4
BWI,2023-09-01,2023,11,3,0,0,0,31,0,45
BWI,2023-10-01,2023,0,0,0,0,0,0,0,0
BWI,2023-11-01,2023,0,0,0,0,0,0,0,0
BWI,2023-12-01,2023,0,1,0,0,0,0,0,1
BWI,2024-01-01,2024,3,0,0,0,0,0,1,4
BWI,2024-02-01,2024,1,0,0,0,0,0,3,4
BWI,2024-03-01,2024,1,1,0,0,0,5,3,10
BWI,2024-04-01,2024,5,0,0,0,0,0,1,6
BWI,2024-05-01,2024,5,1,0,0,0,0,0,6
BWI,2024-06-01,2024,15,0,0,0,0,6,8,29
BWI,2024-07-01,2024,4,0,1,0,0,5,2,12
BWI,2024-08-01,2024,58,0,0,0,1,8,8,75
BWI,2024-09-01,2024,0,0,0,0,0,0,0,0
BWI,2024-10-01,2024,0,0,0,0,0,0,0,0
BWI,2024-11-01,2024,0,0,0,0,0,0,0,0
BWI,2024-12-01,2024,1,0,0,0,0,0,1,2
CLT,2015-01-01,2015,3,3,0,0,0,2,5,13
CLT,2015-02-01,2015,21,7,0,0,7,5,8,48
CLT,2015-03-01,2015,17,2,0,4,0,2,0,25
CLT,2015-04-01,2015,10,2,0,3,0,0,0,15
CLT,2015-05-01,2015,8,1,0,0,0,0,0,9
CLT,2015-06-01,2015,19,2,0,0,0,0,0,21
CLT,2015-07-01,2015,9,0,0,0,0,0,0,9
CLT,2015-08-01,2015,16,2,1,0,0,0,1,20
CLT,2015-09-01,2015,5,3,0,0,0,0,0,8
CLT,2015-10-01,2015,3,4,0,0,0,0,0,7
CLT,2015-11-01,2015,7,3,0,0,0,0,0,10
CLT,2015-12-01,2015,3,1,0,1,0,0,0,5
CLT,2016-01-01,2016,0,5,0,0,0,0,1,6
CLT,2016-02-01,2016,14,1,0,1,0,0,1,17
CLT,2016-03-01,2016,4,2,0,1,1,0,1,9
CLT,2016-04-01,2016,3,2,0,0,0,0,0,5
CLT,2016-05-01,2016,2,0,0,0,0,0,0,2
CLT,2016-06-01,2016,8,3,0,0,0,0,2,13
CLT,2016-07-01,2016,33,2,0,0,0,3,2,40
CLT,2016-08-01,2016,18,2,0,0,0,0,0,20
CLT,2016-09-01,2016,3,1,0,0,0,0,0,4
CLT,2016-10-01,2016,0,1,0,0,0,0,0,1
CLT,2016-11-01,2016,0,1,0,0,0,0,0,1
CLT,2016-12-01,2016,2,1,0,0,0,0,0,3
CLT,2017-01-01,2017,10,0,0,1,0,0,0,11
CLT,2017-02-01,2017,2,0,0,0,0,0,0,2
CLT,2017-03-01,2017,5,0,0,0,0,0,0,5
CLT,2017-04-01,2017,12,4,0,1,0,1,0,18
CLT,2017-05-01,2017,14,2,0,2,0,2,2,22
CLT,2017-06-01,2017,11,2,0,1,0,0,0,14
CLT,2017-07-01,2017,26,5,2,0,0,3,0,36
CLT,2017-08-01,2017,20,5,0,1,0,1,6,33
CLT,2017-09-01,2017,0,1,0,0,0,0,0,1
CLT,2017-10-01,2017,7,5,0,3,0,0,0,15
CLT,2017-11-01,2017,0,0,0,0,0,0,0,0
CLT,2017-12-01,2017,2,8,0,0,4,0,0,14
CLT,2018-01-01,2018,11,4,0,0,1,2,3,21
CLT,2018-02-01,2018,8,4,0,0,0,0,1,13
CLT,2018-03-01,2018,5,3,0,0,0,0,0,8
CLT,2018-04-01,2018,9,2,0,2,0,1,1,15
CLT,2018-05-01,2018,24,9,0,0,0,0,0,33
CLT,2018-06-01,2018,17,10,0,0,0,1,7,35
CLT,2018-07-01,2018,56,11,0,0,1,4,0,72
CLT,2018-08-01,2018,62,16,0,1,0,1,1,81
CLT,2018-09-01,2018,29,5,0,0,0,0,3,37
CLT,2018-10-01,2018,24,13,0,0,0,0,2,39
CLT,2018-11-01,2018,11,6,0,0,0,1,0,18
CLT,2018-12-01,2018,0,4,0,1,2,1,8,16
CLT,2019-01-01,2019,8,9,0,0,0,0,3,20
CLT,2019-02-01,2019,6,6,0,1,0,0,1,14
CLT,2019-03-01,2019,2,1,0,0,0,0,1,4
CLT,2019-04-01,2019,55,7,0,3,0,0,1,66
CLT,2019-05-01,2019,19,11,0,0,0,0,0,30
CLT,2019-06-01,2019,39,51,0,2,6,2,17,117
CLT,2019-07-01,2019,60,24,0,1,3,0,3,91
CLT,2019-08-01,2019,77,27,0,0,1,1,6,112
CLT,2019-09-01,2019,5,4,0,4,0,1,1,15
CLT,2019-10-01,2019,8,7,0,2,0,0,0,17
CLT,2019-11-01,2019,2,5,0,0,0,0,0,7
CLT,2019-12-01,2019,7,5,1,0,0,1,0,14
CLT,2020-01-01,2020,6,1,0,0,0,0,0,7
CLT,2020-02-01,2020,34,4,0,0,0,2,2,42
CLT,2020-03-01,2020,0,10,0,0,14,0,1,25
CLT,2020-04-01,2020,0,0,0,0,0,0,0,0
CLT,2020-05-01,2020,0,0,0,0,0,0,0,0
CLT,2020-06-01,2020,0,0,0,0,0,0,0,0
CLT,2020-07-01,2020,0,0,0,0,0,0,0,0
CLT,2020-08-01,2020,0,0,0,0,0,0,0,0
CLT,2020-09-01,2020,1,0,0,0,0,0,0,1
CLT,2020-10-01,2020,0,0,0,0,0,0,0,0
CLT,2020-11-01,2020,0,0,0,0,0,0,0,0
CLT,2020-12-01,2020,0,1,0,0,1,0,0,2
CLT,2021-01-01,2021,1,3,0,0,6,0,2,12
CLT,2021-02-01,2021,1,1,0,0,0,0,0,2
CLT,2021-03-01,2021,1,1,0,0,0,0,1,3
CLT,2021-04-01,2021,1,0,0,0,0,0,0,1
CLT,2021-05-01,2021,0,0,0,0,0,0,0,0
