Year,Loc,Tot.Delays,Tot.Avg.Min,Tot.Tot.Min,Weather.Delays,Weather.Avg.Min,Weather.Tot.Min,Vol.Delays,Vol.Avg.Min,Vol.Tot.Min,Equip.Delays,Equip.Avg.Min,Equip.Tot.Min,Runway.Delays,Runway.Avg.Min,Runway.Tot.Min,Other.Delays,Other.Avg.Min,Other.Tot.Min
2022,MEM,246,39,9622,47,47,2220,134,32,4283,6,35,207,0,0,0,59,49,2912
2022,MIA,4972,29,144205,1594,43,68506,2856,20,57441,0,0,0,410,31,12634,112,50,5624
2022,MSP,458,83,38053,426,87,37083,13,26,332,0,0,0,1,45,45,18,33,593
2022,ORD,7507,72,537948,5144,90,463448,1041,21,22305,3,23,69,387,26,10128,932,45,41998
2022,PHL,1596,40,64155,1054,51,53294,419,19,8038,3,33,100,33,20,669,87,24,2054
2022,PHX,1273,34,43846,629,41,25592,366,20,7352,2,29,58,82,19,1544,194,48,9300
2022,SAN,1499,36,53861,346,59,20486,855,23,19327,119,75,8964,144,29,4201,35,25,883
2022,SEA,2171,36,78747,1332,42,55628,708,24,16949,0,0,0,12,21,255,119,50,5915
2022,SFO,3811,36,138834,2597,43,111682,564,22,12477,38,48,1828,458,20,8960,154,25,3887
2022,SLC,143,23,3300,27,28,768,77,21,1625,5,28,138,28,22,613,6,26,156
2022,TPA,969,42,40436,479,55,26305,355,29,10470,26,26,674,99,26,2602,10,39,385
Sub-Total for 2022,,114404,50,5698670,73311,61,4463487,24074,24,581547,1079,46,49772,9025,32,286482,6915,46,317382
2023,ATL,2222,57,125655,1587,68,108423,334,22,7469,99,48,4731,107,22,2380,95,28,2652
2023,BOS,7927,61,485957,6588,64,420882,214,28,5903,27,57,1550,1080,53,57153,18,26,469
2023,BWI,474,64,30164,411,69,28182,40,23,906,18,53,962,3,22,65,2,25,49
2023,CLT,3262,40,131096,1509,51,77464,1212,22,26598,177,57,10022,268,53,14113,96,30,2899
2023,DCA,3503,35,122181,1497,51,75727,1613,20,32467,112,63,7020,46,34,1570,235,23,5397
2023,DEN,9574,65,621686,8106,69,560706,537,24,12890,75,50,3759,748,55,41270,108,28,3061
2023,DFW,6496,40,257915,3048,59,180559,1101,23,25179,82,53,4350,2090,21,44089,175,21,3738
2023,DTW,364,48,17463,272,52,14140,27,21,566,62,43,2670,0,0,0,3,29,87
2023,EWR,9681,67,650376,8160,73,595611,1322,37,49158,25,59,1482,79,22,1727,95,25,2398
2023,FLL,1830,55,101385,993,55,54898,289,28,8215,58,50,2917,361,59,21406,129,108,13949
2023,HNL,899,35,31052,73,35,2532,55,28,1560,2,26,52,756,35,26632,13,21,276
2023,IAD,579,50,29117,290,72,20911,182,26,4663,5,43,215,65,28,1850,37,40,1478
2023,IAH,3470,46,160979,1883,63,118278,368,27,9984,47,51,2419,1123,26,28775,49,31,1523
2023,JFK,8534,54,457522,6505,63,407192,1308,24,31694,22,46,1005,516,27,13729,183,21,3902
2023,LAS,29712,41,1208873,9418,57,533702,7802,26,205100,36,44,1580,11753,37,436849,703,45,31642
2023,LAX,2920,29,85367,405,51,20489,1741,23,39270,119,49,5777,547,32,17418,108,22,2413
2023,LGA,14152,54,759110,10425,63,653004,3165,25,78763,328,66,21667,182,24,4333,52,26,1343
2023,MCO,1618,57,92774,1080,71,77076,285,25,7231,29,54,1552,142,22,3100,82,47,3815
2023,MDW,560,60,33494,396,75,29794,100,19,1940,11,43,476,1,20,20,52,24,1264
